what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882845493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882876146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882876764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882878130
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426882878872
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426882891624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882906903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882916115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882921805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882931518
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426882937077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426882961667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883003320
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883027397
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883031562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883053704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883067114
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883092791
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883102523
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883104573
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883105572
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883106863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426883133690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883136969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883184138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883191079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883192374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883194240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883202231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1426883226974
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1426883227667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426883229185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426883229543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883230462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883263292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426883311137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426883313909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426883315194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426883318765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883320456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883363834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883367233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883392726
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883394705
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883413893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883435231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883450574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883453393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883454699
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883459288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1426883501565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426883502403
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1426883503215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426883504269
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883505516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426883521470
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1426883524701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1426883531267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883541457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883565499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883572271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883575440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426883589333
